City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6194,147.9024,-7.62,97,100,12.19,RU,1668892714
1,ushuaia,-54.8061,-68.3185,47.89,57,40,27.63,AR,1668892715
2,sorvag,68.0369,15.3885,41.9,50,0,6.11,NO,1668892716
3,barentsburg,78.0654,14.2172,38.8,97,98,10.07,SJ,1668892716
4,puerto ayora,-0.7472,-90.3134,81.21,96,95,7.0,EC,1668892717
5,tasiilaq,65.6153,-37.6378,39.7,69,100,10.71,GL,1668892718
6,kavieng,-2.5735,150.7952,82.36,70,92,11.41,PG,1668892719
7,vaini,-21.1926,-175.1773,77.18,71,94,6.38,TO,1668892720
8,port augusta,-32.4909,137.764,58.05,59,3,15.19,AU,1668892721
9,turkmenabat,39.0734,63.5832,49.98,100,99,6.91,TM,1668892721
10,nizhneyansk,71.4404,136.1306,-29.36,94,35,4.43,RU,1668892722
11,mindif,10.4014,14.4426,78.96,26,5,9.46,CM,1668892723
12,new norfolk,-42.7802,147.0615,55.15,73,100,5.01,AU,1668892724
13,hasaki,35.753,140.8201,52.21,59,100,10.07,JP,1668892725
14,puerto baquerizo moreno,-0.9026,-89.6102,74.86,73,40,14.97,EC,1668892726
15,rosarito,32.3648,-117.0556,78.15,24,0,5.48,MX,1668892726
16,bluff,-46.5988,168.3434,58.93,82,64,8.9,NZ,1668892727
17,thompson,55.7433,-97.8635,1.58,78,100,8.05,CA,1668892728
18,mehamn,71.039,27.8518,37.35,81,75,6.91,NO,1668892729
19,qaanaaq,77.4686,-69.2223,-4.23,59,16,7.11,GL,1668892730
20,hamburg,53.5503,10.0007,36.28,90,100,6.91,DE,1668892698
21,karur,10.9596,78.0808,68.38,83,99,0.34,IN,1668892731
22,lagoa,37.1326,-8.4551,56.68,79,13,7.49,PT,1668892732
23,vila franca do campo,37.7172,-25.4335,64.81,86,36,4.65,PT,1668892733
24,artyk,37.5516,59.3273,57.49,58,0,1.68,TM,1668892734
25,pevek,69.7028,170.2747,-12.24,99,98,5.5,RU,1668892735
26,cabo san lucas,22.8939,-109.9201,83.41,60,75,6.91,MX,1668892474
27,rikitea,-23.123,-134.968,71.06,67,93,9.28,PF,1668892736
28,muli,27.9292,101.2787,35.8,53,46,3.6,CN,1668892737
29,provideniya,64.4237,-173.2274,23.25,86,100,6.02,RU,1668892738
30,moron,18.5602,-74.2581,80.87,77,87,2.48,HT,1668892738
31,cidreira,-30.1657,-50.2183,70.65,75,8,23.53,BR,1668892739
32,atuona,-9.8037,-139.0426,77.76,74,10,10.83,PF,1668892740
33,hithadhoo,1.7959,73.3876,81.5,73,74,13.91,MV,1668892741
34,russell,38.8953,-98.8598,39.79,33,0,16.11,US,1668892742
35,mahebourg,-20.4111,57.7061,70.18,83,20,3.44,MU,1668892743
36,althofen,46.8714,14.4699,40.35,93,100,3.0,AT,1668892744
37,lebu,-37.61,-73.6559,58.91,70,67,17.6,CL,1668892744
38,moerai,-22.4514,-151.3422,72.45,69,62,19.8,PF,1668892745
39,port elizabeth,-33.9617,25.6208,60.46,82,0,11.54,ZA,1668892746
40,deputatskiy,54.8408,61.127,-1.73,100,92,3.13,RU,1668892747
41,cape town,-33.929,18.4174,61.0,73,0,6.91,ZA,1668892748
42,kodiak,57.79,-152.4072,40.51,87,100,11.5,US,1668892749
43,cockburn town,21.4608,-71.14,80.56,69,75,14.97,TC,1668892750
44,punta arenas,-53.1626,-70.9078,52.09,37,20,28.77,CL,1668892751
45,albany,42.6512,-73.755,38.88,48,75,6.91,US,1668892752
46,mineiros,-17.5654,-52.5537,83.32,39,29,9.69,BR,1668892505
47,mardin,37.3205,40.7258,50.09,82,0,6.04,TR,1668892753
48,chuy,-33.6938,-53.4561,71.31,77,100,15.46,BR,1668892754
49,hobart,-42.8825,147.3281,55.2,89,100,10.36,AU,1668892513
50,nuuk,64.175,-51.7355,30.92,86,0,4.61,GL,1668892756
51,avarua,-21.2075,-159.7708,78.78,65,75,10.36,CK,1668892757
52,saint anthony,45.0283,-93.2187,17.29,58,75,20.71,US,1668892758
53,mar del plata,-37.9977,-57.5483,71.56,89,0,8.05,AR,1668892759
54,butaritari,2.9205,172.9189,80.87,72,37,18.9,KI,1668892760
55,busselton,-33.6445,115.3489,54.32,81,78,7.36,AU,1668892760
56,chapais,49.783,-74.8573,20.95,92,100,10.09,CA,1668892761
57,narsaq,60.9127,-46.0453,26.85,74,100,6.58,GL,1668892762
58,hilo,19.7074,-155.0816,82.18,70,40,5.75,US,1668892763
59,prince rupert,54.3127,-130.3255,44.44,63,100,20.71,CA,1668892764
60,khatanga,71.9819,102.4715,-28.37,97,100,1.7,RU,1668892765
61,kapaa,22.0747,-159.3192,80.92,76,40,17.27,US,1668892766
62,biak,-1.1836,136.0816,77.0,88,75,3.44,ID,1668892767
63,coromandel,-18.4739,-47.2003,75.18,52,35,7.05,BR,1668892768
64,esperance,-33.8582,121.8932,57.25,73,75,14.52,AU,1668892769
65,henties bay,-22.113,14.2882,62.94,75,100,7.31,NA,1668892769
66,lac du bonnet,50.2549,-96.0621,6.53,82,100,7.96,CA,1668892770
67,trois-rivieres,46.3716,-72.6005,31.51,89,100,13.8,CA,1668892771
68,black diamond,47.3083,-122.0038,51.26,42,80,1.36,US,1668892772
69,katsuura,35.1522,140.3207,58.91,66,100,10.02,JP,1668892773
70,salalah,17.0175,54.1011,75.27,53,0,2.3,OM,1668892774
71,half moon bay,52.3472,-114.1766,24.26,51,32,5.19,CA,1668892774
72,sataua,-13.5176,-172.693,82.06,73,23,4.94,WS,1668892775
73,crab hill,13.3201,-59.6374,82.65,75,11,20.65,BB,1668892776
